index,iteration,prompt_index,synthetic_count,n_feedback,output_len,summarization_score,summarization_reason,hallucination_score,hallucination_reason
0,1,0,0,50,3099,0.4444444444444444,"The score is 0.44 because the summary introduces several pieces of extra information not present in the original text, such as the number of recommendations, their evidence-based nature, the number of feedback forms, and supporting details. Additionally, the summary omits specific feedback details that the original text contains, resulting in a significant loss of fidelity.",0.0,"The score is 0.00 because all factual alignments show the actual output is fully supported by the context, with no contradictions or unsupported claims."
1,1,1,0,50,2694,0.8,"The score is 0.80 because the summary includes extra details about the number of feedback forms and specific IDs or snippets that are not present in the original text, and it omits some feedback about volunteers being busy and limited time for questions. However, there are no direct contradictions, so the summary is generally accurate but not fully comprehensive.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported information present."
2,2,0,0,50,3082,0.6,"The score is 0.60 because the summary introduces extra details not present in the original text, such as favoritism towards those who know someone at the health center, the number of feedback forms, and specific feedback form IDs or snippets. Additionally, the summary omits answers to questions about feedback on mask distribution and volunteer availability, which are present in the original text. These issues reduce the summary's accuracy and completeness.",0.24,"The score is 0.24 because while the actual output aligns with the majority of factual details in the context, there are several omissions where specific eligibility criteria, logistical issues, and concerns are not addressed, indicating some minor hallucinations but overall strong factual alignment."
3,2,1,0,50,2141,0.6,"The score is 0.60 because the summary introduces unsupported claims about the visibility of handwashing stations and references specific feedback form details not present in the original text. Additionally, it omits feedback about mask distribution and communication channels, which are covered in the original text. These issues reduce the summary's accuracy and completeness.",0.18,"The score is 0.18 because the actual output aligns with most contextual facts and suggestions, but it omits several specific eligibility criteria, requirements, and beliefs present in the context, leading to minor factual gaps rather than outright hallucinations."
4,3,0,0,50,3158,0.6,"The score is 0.60 because the summary introduces extra information not present in the original text, such as specifying the number 20 and the total number of feedback forms, and omits details that the original text could answer, like specific feedback about masks and volunteer availability.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the contexts, indicating that the output is fully grounded in the provided evidence with no hallucinations."
5,3,1,0,50,2524,0.47368421052631576,"The score is 0.47 because the summary introduces multiple pieces of extra information, such as specific feedback form codes and details not present in the original text, and omits at least one answerable point from the original text regarding volunteer busyness and time for questions. This reduces the summary's fidelity and completeness.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context and there are no contradictions, indicating no hallucinated information."
6,4,0,0,50,2904,0.5555555555555556,"The score is 0.56 because the summary introduces several pieces of extra information not present in the original text, such as specific recommendations, categories, and details about feedback forms. Additionally, the summary omits details that would answer certain questions addressed in the original text, reducing its completeness and accuracy.",0.22,"The score is 0.22 because the actual output closely aligns with most factual contexts, with only a few omissions of specific details (e.g., eligibility criteria, event timing, and observed issues) that prevent perfect alignment but do not introduce false information."
7,4,1,0,50,2240,0.8,"The score is 0.80 because the summary introduces extra details about the number of feedback forms and specific IDs that are not present in the original text, and it omits the ability to answer whether feedback about reminders before activities was given. Otherwise, the summary aligns well with the original content.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported claims present."
8,5,0,0,50,3134,0.4,"The score is 0.40 because the summary introduces several pieces of extra information, such as specific feedback form codes, the number of recommendations, and the total number of forms, none of which are present in the original text. Additionally, the summary omits details that would answer certain questions found in the original text, reducing its overall fidelity.",0.18,"The score is 0.18 because the actual output closely aligns with most factual details in the context, with only a few omissions regarding eligibility, hygiene, and access concerns, indicating minor hallucination."
9,5,1,0,50,1300,0.4,"The score is 0.40 because the summary introduces extra details not present in the original text and omits several key points that the original text addresses, such as specific feedback about reminders, masks, and communication channels. This reduces the summary's accuracy and completeness.",0.18,"The score is 0.18 because the actual output closely aligns with the majority of factual details in the context, with only a few omissions and no evidence of fabricated or incorrect information."
