index,iteration,prompt_index,synthetic_count,n_feedback,output_len,summarization_score,summarization_reason,hallucination_score,hallucination_reason
0,1,0,0,50,688,0.2,"The score is 0.20 because the summary introduces extra recommendations not present in the original text, such as setting up a dedicated communication channel and making testing available to all, while omitting specific feedback and details that the original text provides, resulting in a significant loss of fidelity.",0.58,"The score is 0.58 because while there are numerous factual alignments between the actual output and the context, there are also many contradictions where key context points are not addressed, indicating partial but not full alignment and some omissions, but no clear evidence of fabricated information."
1,1,1,0,50,1215,0.0,"The score is 0.00 because the summary introduces multiple pieces of extra information not present in the original text, such as ranking issues as 'most common' and generalizing specific feedback, while also omitting details that the original text can answer, like feedback about reminders before activities. This results in a summary that does not accurately reflect the original content.",0.0,"The score is 0.00 because all statements in the actual output align with the provided contexts and there are no contradictions, indicating no hallucinated or unsupported information."
2,2,0,0,50,1254,0.0,"The score is 0.00 because the summary fails to address key feedback points present in the original text, such as suggestions for reminders before activities, comments on long registration queues, observations about busy volunteers, and requests for clearer registration information. As a result, the summary does not capture essential details from the original text.",0.64,"The score is 0.64 because, although there are numerous factual alignments between the actual output and the contexts, there are also many contradictions where specific concerns and details from the contexts are not addressed or referenced in the actual output, indicating partial coverage and some omissions."
3,2,1,0,50,1026,0.0,"The score is 0.00 because the summary introduces multiple pieces of extra information not present in the original text, particularly by generalizing specific issues as the 'most common issues reported by the community,' which is not supported by the original. This misrepresentation significantly reduces the accuracy and reliability of the summary.",0.0,"The score is 0.00 because all factual statements in the actual output align with the provided contexts, and there are no contradictions, indicating no hallucination."
4,3,0,0,50,825,0.4,"The score is 0.40 because the summary omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and comments on volunteers being busy. This reduces the summary's completeness and usefulness.",0.0,"The score is 0.00 because there are no contradictions between the actual output and the context, and all referenced information is either aligned with or not addressed by the actual output, indicating no hallucinated content."
5,3,1,0,50,681,0.2,"The score is 0.20 because the summary introduces a contradiction by incorrectly stating there were shortages of masks and handwashing stations, whereas the original text only mentions a need for more masks and that water ran out at handwashing stations. Additionally, the summary omits several pieces of feedback present in the original text, such as requests for reminders before activities, the need for clearer registration information, and comments about volunteers being busy, resulting in a significant loss of important details.",0.0,"The score is 0.00 because all statements in the actual output are fully supported by the context, with no contradictions or unsupported claims."
6,4,0,0,50,704,0.2,"The score is 0.20 because the summary omits several key details present in the original text, such as feedback about reminders before activities, long registration queues, the need for more masks, and volunteers being too busy to answer questions. This significantly reduces the summary's completeness and usefulness.",0.0,"The score is 0.00 because all factual alignments show that the actual output is fully supported by the context, with no contradictions or unsupported claims present."
7,4,1,0,50,598,0.4,"The score is 0.40 because the summary introduces extra information not present in the original text, such as claiming that limited access to COVID-19 support is one of the most common issues, which is not supported by the original. Additionally, the summary omits specific feedback found in the original text, such as requests for reminders before activities, more masks, and comments about volunteers being too busy, reducing its completeness and accuracy.",0.12,"The score is 0.12 because the actual output is highly aligned with the context, with only a few minor omissions (contradictions) and no evidence of fabricated or unsupported information."
8,5,0,0,50,583,0.2,"The score is 0.20 because the summary omits several key details present in the original text, such as feedback about reminders before activities, long registration queues, the need for more masks, and volunteers being too busy for questions. This significantly reduces the summary's completeness and usefulness.",0.6,"The score is 0.60 because while the actual output aligns with many factual details from the context, it omits or fails to address a significant number of specific issues and recommendations present in the context, indicating partial but not complete factual alignment."
9,5,1,0,50,308,0.2,"The score is 0.20 because the summary omits several key details present in the original text, such as specific feedback about long queues, the need for more masks, volunteers being busy, and the desire for clearer registration information. This significantly reduces the summary's completeness and usefulness.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the provided contexts, and there are no contradictions, indicating no hallucination."
