index,iteration,prompt_index,synthetic_count,n_feedback,output_len,summarization_score,summarization_reason,hallucination_score,hallucination_reason
0,1,0,0,50,1157,0.4,"The score is 0.40 because the summary omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and volunteers being too busy for questions. This reduces the summary's completeness and usefulness.",0.26,"The score is 0.26 because the actual output closely aligns with most factual details in the context, with only a few omissions (e.g., masks, testing locations, handwashing stations) and no evidence of fabricated or unsupported information."
1,1,1,0,50,1003,0.6,"The score is 0.60 because, while the summary does not introduce contradictions or extra information, it omits important details present in the original text, such as specific feedback about the need for more masks and the long queue at the registration point. This omission reduces the completeness and informativeness of the summary.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported claims present."
2,2,0,0,50,1023,0.6,"The score is 0.60 because the summary introduces extra information by presenting a hearsay statement from the original text as a confirmed fact, and it omits details about feedback on mask distribution and volunteer availability that are present in the original text.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context, with no contradictions or unsupported claims present."
3,2,1,0,50,1289,0.8,"The score is 0.80 because the summary introduces information not present in the original text, specifically about knowing someone at the health center and vaccines, which contradicts the original content. However, there is no extra unrelated information, and most of the summary aligns well with the source. The summary also omits the detail about feedback on sharing announcements through multiple channels, which the original text addresses.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported claims, indicating no hallucination."
4,3,0,0,50,984,0.2,"The score is 0.20 because the summary introduces several claims with greater certainty than the original text, overstating the effectiveness of proposed actions and adding solutions not present in the source. Additionally, the summary omits specific feedback and concerns that the original text addresses, reducing its accuracy and completeness.",0.0,"The score is 0.00 because there are no contradictions and all factual alignments indicate the actual output is fully consistent with the provided context, showing no evidence of hallucination."
5,3,1,0,50,1078,0.8,"The score is 0.80 because the summary introduces a negative claim about activity timing that is not supported by the original text, and it omits feedback about reminders before activities. However, there is no extra information added, indicating the summary is mostly accurate but with some notable omissions and a contradiction.",0.22,"The score is 0.22 because while the actual output aligns with the majority of factual details in the context, there are several omissions of key information such as requirements for official documents, details about testing and vaccination, and suggestions for awareness sessions, which slightly increases the hallucination score."
6,4,0,0,50,769,0.6,"The score is 0.60 because the summary introduces extra information by presenting hearsay as fact and omits key feedback details present in the original text, such as requests for reminders and comments on volunteer availability.",0.0,"The score is 0.00 because all factual alignments show the actual output consistently agrees with or matches the context, and there are no contradictions, indicating no hallucinations."
7,4,1,0,50,718,0.4,"The score is 0.40 because the summary omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and issues with long registration queues. This reduces the summary's completeness and accuracy.",0.0,"The score is 0.00 because all factual statements in the actual output align with the context and there are no contradictions, indicating no hallucination."
8,5,0,0,50,685,0.4,"The score is 0.40 because, while the summary does not introduce contradictions or extra information, it omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and observations about volunteers being busy. These omissions reduce the summary's completeness and accuracy.",0.2,"The score is 0.20 because the actual output aligns with most factual contexts, addressing key issues and recommendations, but omits several specific details and corrections noted in the contradictions, indicating minor hallucination."
9,5,1,0,50,818,0.6,"The score is 0.60 because the summary adds extra information by overstating the frequency of issues (e.g., long queues, access difficulties, communication concerns, and busy volunteers) that are only mentioned as isolated or occasional in the original text. Additionally, the summary omits specific feedback present in the original text, such as requests for reminders before activities and more masks for families, reducing its completeness and accuracy.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context and there are no contradictions, indicating no hallucination."
10,6,0,0,50,891,0.75,"The score is 0.75 because the summary exaggerates the frequency and scope of reported issues, stating that long queues and crowding were 'frequently reported' at both registration points and activities, which is not supported by the original text. Additionally, the summary omits feedback about volunteers being very busy and having little time for questions, which the original text addresses.",0.26,"The score is 0.26 because while the actual output aligns with most context points (as shown by numerous factual alignments), it omits several key details present in the context (such as registration limitations, documentation requirements, and perceptions of unequal support), resulting in partial but not complete factual consistency."
11,6,1,0,50,1067,0.4,"The score is 0.40 because the summary repeatedly exaggerates the scale and frequency of issues compared to the original text, generalizing specific feedback and combining distinct points. It also introduces interpretations not present in the original, such as perceived unfairness about eligibility. Additionally, the summary omits some actionable feedback found in the original text, such as requests for reminders and observations about volunteer availability.",0.0,"The score is 0.00 because all factual statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
12,7,0,0,50,839,0.7142857142857143,"The score is 0.71 because the summary adds extra suggestions and details not present in the original text, such as organizing at different locations and ensuring equal access, and omits specific feedback about volunteers being busy and limited opportunities for questions. However, there are no direct contradictions, so the summary is generally accurate but not fully comprehensive or precise.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the context, indicating that the output is fully grounded in the provided information with no hallucinations."
13,7,1,0,50,814,0.5,"The score is 0.50 because the summary introduces extra information not present in the original text and omits answers to specific feedback-related questions, reducing its overall accuracy and completeness.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context and there are no contradictions, indicating no hallucinated content."
14,8,0,0,50,779,0.4,"The score is 0.40 because the summary overstates the certainty of outcomes mentioned as suggestions in the original text, introduces extra information not explicitly stated, and omits specific feedback present in the original text, resulting in a significant loss of accuracy and detail.",0.44,"The score is 0.44 because while the actual output aligns with many factual details from the context, it omits several key points such as issues with handwashing stations, mask availability, eligibility criteria, and perceptions of unequal support, indicating partial coverage and moderate hallucination."
15,8,1,0,50,677,0.4,"The score is 0.40 because the summary introduces extra information not present in the original text, such as crowding being 'frequently reported' and favoritism being 'commonly raised,' which overstates the original feedback. Additionally, the summary omits specific feedback about mask distribution, long queues, and suggestions for improving information sharing, reducing its coverage and accuracy.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the context, indicating that the output is fully supported by the provided evidence with no hallucinations."
16,9,0,0,50,646,0.2,"The score is 0.20 because the summary introduces extra information not present in the original text and omits several specific feedback points that the original text addresses, such as requests for reminders, more masks, and details about the registration queue and volunteer availability. This results in a summary that is incomplete and less accurate.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated or unsupported information."
17,9,1,0,50,833,0.8,"The score is 0.80 because the summary omits the detail that feedback suggests sharing announcements through multiple channels could help more people receive information, which reduces its completeness. However, there are no contradictions or extra information, indicating the summary is otherwise accurate and concise.",0.0,"The score is 0.00 because all factual alignments show the actual output is fully supported by the context, with no contradictions or unsupported claims."
18,10,0,0,50,1173,0.6,"The score is 0.60 because the summary adds extra information by implying that certain actions were implemented or guaranteed to build trust, whereas the original text only suggested them. Additionally, the summary omits specific feedback present in the original text, such as requests for more masks and observations about volunteers' availability, reducing its completeness.",0.12,"The score is 0.12 because the actual output aligns with most factual details from the context, with only a few omissions regarding specific eligibility and resource limitations, resulting in a low hallucination score."
19,10,1,0,50,1016,0.2,"The score is 0.20 because the summary omits several key details present in the original text, such as specific feedback about reminders, mask distribution, communication channels, and volunteer availability. This significantly reduces the summary's completeness and usefulness.",0.2,"The score is 0.20 because the actual output aligns with most factual details from the context, but it omits several specific requirements and limitations (e.g., need for official documents, restricted eligibility, timing issues), resulting in minor hallucination."
20,11,0,0,50,952,0.4,"The score is 0.40 because the summary omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and volunteers being too busy for questions. This limits the summary's completeness and usefulness.",0.0,"The score is 0.00 because there are no contradictions and all referenced details in the actual output either align with or do not contradict the context, indicating no hallucinated information."
21,11,1,0,50,990,0.4,"The score is 0.40 because, while the summary does not introduce contradictions or extra information, it omits several key details present in the original text, such as feedback about reminders before activities, the need for more masks, and the suggestion to use multiple channels for announcements. This limits the summary's completeness and usefulness.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
22,12,0,0,50,1052,0.4,"The score is 0.40 because the summary adds extra information not present in the original text, such as reports of frustration and the number of people commenting on the queue, and omits several specific feedback points that the original text addresses, reducing its completeness and accuracy.",0.34,"The score is 0.34 because while the actual output aligns with most factual details in the context, there are several omissions where it fails to mention specific issues such as late starts, eligibility requirements, and perceptions of unequal support, leading to a moderate level of hallucination."
23,12,1,0,50,795,0.8,"The score is 0.80 because the summary omits the detail about feedback indicating that more masks would help families follow prevention measures, which is present in the original text. Otherwise, the summary aligns well with the original content.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context, and there are no contradictions or unsupported claims."
24,13,0,0,50,1166,1.0,The score is 1.00 because the summary accurately reflects the original text without introducing contradictions or extra information. Excellent summarization quality.,0.38,"The score is 0.38 because while the actual output aligns with most factual details from the context, there are several notable omissions and contradictions where key context points are not addressed, indicating some degree of factual incompleteness but limited hallucination."
25,13,1,0,50,922,0.8,"The score is 0.80 because the summary introduces extra information about challenges in locating activity sites and limited accessibility, which are not present in the original text. Additionally, the summary omits feedback about volunteers being very busy and little time to ask questions, which the original text addresses. Overall, the summary is mostly accurate but includes some unsupported details and misses a specific point.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the context, indicating no hallucination."
26,14,0,0,50,726,0.6,"The score is 0.60 because the summary adds extra information not present in the original text, such as explicitly stating the process was difficult for many people and combining solutions for reducing crowding and waiting times. Additionally, the summary omits details about feedback regarding volunteers being very busy and little time to ask questions, which the original text addresses.",0.28,"The score is 0.28 because the actual output mostly aligns with the context, addressing key issues and recommendations, but it omits several specific concerns and details present in the context, resulting in some factual gaps and minor hallucinations."
27,14,1,0,50,847,0.6,"The score is 0.60 because the summary introduces a contradiction by claiming there were supply shortages of masks, whereas the original text only mentions a need for more masks, not an actual shortage. Additionally, the summary omits details that the original text could answer, such as specific feedback about mask distribution and queue length. No extra information was added, but these issues reduce the summary's accuracy.",0.26,"The score is 0.26 because the actual output aligns with most factual details in the context, but omits several specific points such as perceived inequity in support distribution, restrictions on eligibility, and details about vaccination and testing, resulting in some factual gaps but no major contradictions or fabrications."
28,15,0,0,50,638,0.25,"The score is 0.25 because the summary omits several key details present in the original text, such as feedback about reminders before activities, long registration queues, and volunteers being too busy for questions. This significantly reduces the summary's completeness and usefulness.",0.0,"The score is 0.00 because all factual alignments show the actual output consistently matches the provided contexts, with no contradictions or unsupported claims."
