index,iteration,prompt_index,synthetic_count,n_feedback,output_len,summarization_score,summarization_reason,hallucination_score,hallucination_reason
0,1,0,0,50,3675,0.4166666666666667,"The score is 0.42 because the summary introduces several pieces of extra information not present in the original text, such as the number of recommendations, specific focus on underserved neighborhoods, and references to feedback form IDs. While there are no direct contradictions, the addition of these details reduces the summary's fidelity to the original content.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated or unsupported information."
1,1,1,0,50,3255,0.2857142857142857,"The score is 0.29 because the summary introduces several interpretations and extrapolations not directly supported by the original text, such as specifying impacts on marginalized groups and concentrating support in certain areas. It also combines separate perceptions into single claims, leading to contradictions. These issues significantly reduce the summary's fidelity to the original content.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported claims present."
2,2,0,0,50,3479,0.18181818181818182,"The score is 0.18 because the summary introduces substantial extra information and recommendations not present in the original text, such as specific numbers of recommendations, emphasis on disproportionately affected groups, and detailed outreach strategies. Additionally, the summary omits several feedback points that the original text addresses, such as requests for reminders, masks, and clearer registration information. This results in a summary that is not faithful to the original content.",0.24,"The score is 0.24 because while the actual output closely aligns with most factual details in the context, there are several omissions of specific eligibility criteria, requirements, and logistical issues, indicating minor but notable gaps rather than major hallucinations."
3,2,1,0,50,2376,0.6,"The score is 0.60 because the summary introduces several inferred points not explicitly stated in the original text, such as assumptions about underserved neighborhoods and exclusion of certain households, and omits specific feedback details present in the original. However, there are no direct contradictions, so the summary retains some accuracy.",0.02,"The score is 0.02 because there is strong factual alignment between the actual output and the context, with only a minor contradiction due to a typographical error, indicating minimal hallucination."
4,3,0,0,50,3043,0.6,"The score is 0.60 because the summary introduces several pieces of extra information not present in the original text, such as specific groups at risk of exclusion and proposed solutions, while omitting some details that the original text can answer, like feedback about reminders and masks. However, there are no direct contradictions, which helps maintain a moderate level of accuracy.",0.0,"The score is 0.00 because all factual statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
5,3,1,0,50,3069,0.6923076923076923,"The score is 0.69 because the summary introduces extra details and implications not present in the original text, such as specific groups being disproportionately affected and references to feedback forms, which reduces the summary's fidelity to the source. However, there are no direct contradictions, so the summary still retains a moderate level of accuracy.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context and there are no contradictions, indicating no hallucination."
6,4,0,0,50,3139,0.6,"The score is 0.60 because the summary introduces extra information not present in the original text, such as claims about disproportionate exclusion and the number of feedback forms, and omits details that the original text can answer, like feedback on reminders and mask distribution. However, there are no direct contradictions, so the summary retains some accuracy.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
7,4,1,0,50,2876,0.9411764705882353,"The score is 0.94 because the summary closely matches the original text with only minor extra information, such as mentioning a specific number of feedback forms ('44'), which was not present in the original. Overall, the summary is highly accurate with minimal deviation.",0.0,"The score is 0.00 because all statements in the actual output are fully aligned with the context, with no contradictions or unsupported claims."
8,5,0,0,50,3121,0.5625,"The score is 0.56 because the summary contains several overgeneralizations and unsupported claims that contradict the original text, such as overstating the prevalence of issues and specifying groups not directly mentioned. It also introduces extra details, like the number of recommendations and challenges faced by certain groups, which are not present in the original. Additionally, the summary omits specific feedback about masks that the original text includes.",0.18,"The score is 0.18 because the actual output closely aligns with the majority of factual details in the context, with only a few minor omissions and no significant contradictions or fabricated information."
9,5,1,0,50,1610,,ERROR: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.18,"The score is 0.18 because the actual output closely aligns with the majority of factual details in the context, with only a few omissions and no evidence of fabricated or contradictory information, resulting in a low hallucination score."
10,6,0,0,50,3256,0.3,"The score is 0.30 because the summary introduces substantial extra information not present in the original text, such as assumptions about underserved groups, barriers, and specific recommendations, which reduces its fidelity to the source. However, there are no direct contradictions, so the summary is not entirely misleading.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the contexts, indicating that the output is fully grounded in the provided information with no hallucinations."
11,6,1,0,50,3194,0.35714285714285715,"The score is 0.36 because the summary introduces multiple pieces of extra information and interpretations not present in the original text, such as specific impacts on marginalized groups, feedback form details, and explicit statements about who is disadvantaged. While there are no direct contradictions, the addition of unsupported details significantly reduces the summary's fidelity to the source.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
12,7,0,0,50,3177,0.6666666666666666,"The score is 0.67 because while the summary does not contradict the original text, it introduces several pieces of extra information not present in the original, such as specific details about which groups are excluded, the causes of confusion, and the number of feedback forms. This reduces the summary's fidelity to the source, justifying a moderate score.",0.12,"The score is 0.12 because the vast majority of the actual output aligns with the context, with only a small number of contradictions regarding the relationship between proximity to the main road and likelihood of support. This low rate of contradiction results in a low hallucination score."
13,7,1,0,50,2031,0.9333333333333333,"The score is 0.93 because the summary closely matches the original text, with only minor extra information about the number of feedback forms that was not present in the original. Overall, the summary is highly accurate and faithful to the source.",0.0,"The score is 0.00 because all factual statements in the actual output align with the context and there are no contradictions, indicating no hallucinated content."
14,8,0,0,50,3873,0.46153846153846156,"The score is 0.46 because the summary introduces several pieces of extra information not present in the original text, such as specific numbers of recommendations and feedback forms, and details about underserved populations. Additionally, the summary omits information that the original text can answer, such as whether feedback indicated that more masks would help families follow prevention measures. These issues significantly reduce the accuracy and completeness of the summary.",0.22,"The score is 0.22 because the actual output closely aligns with most context points, with many factual alignments and only a few omissions or unaddressed details, resulting in a low but nonzero hallucination score."
15,8,1,0,50,1863,0.0,"The score is 0.00 because the summary introduces substantial extra information not present in the original text, such as specifying the 'most common issues,' attributing feedback to specific forms, and quantifying the number of feedback forms, none of which are supported by the original. Additionally, the summary omits details that the original text can answer, such as suggestions for reminders, masks, and communication channels. This results in a summary that is not faithful to the original content.",0.14,"The score is 0.14 because the actual output closely aligns with the majority of factual details in the context, with only a few omissions or contradictions regarding specific eligibility criteria, mask distribution, poster visibility, and vaccine access. These minor gaps result in a low hallucination score."
16,9,0,0,50,3709,0.4,"The score is 0.40 because the summary introduces extra details not present in the original text, such as specific reasons for lack of information and feedback form IDs, and omits answers to questions about feedback on masks, communication channels, and registration clarity, reducing its overall accuracy and completeness.",0.32,"The score is 0.32 because the actual output closely aligns with most factual details from the context, addressing nearly all key concerns and recommendations, but it omits several specific points such as punctuality, mask distribution, hygiene supplies, and clear directions, resulting in some minor hallucinations."
17,9,1,0,50,3453,0.7307692307692307,"The score is 0.73 because the summary introduces several pieces of extra information not present in the original text, such as specific references to individuals with limited mobility, language barriers, and those with caregiving responsibilities, as well as claims about who is especially affected by certain issues. Additionally, the summary omits at least one detail that the original text covers, such as feedback about the need for more masks. Despite these issues, the summary still captures much of the main content, justifying a moderate score.",0.1,"The score is 0.10 because the actual output closely aligns with the context on most points, with only a few minor omissions (such as not mentioning requests for more masks, hygiene supplies, specific eligibility criteria, vaccination schedules, and documentation requirements), resulting in a low hallucination score."
18,10,0,0,50,3663,0.21428571428571427,"The score is 0.21 because the summary introduces substantial extra information not present in the original text, such as references to filtered datasets, identified risks, systematic mapping, and explicit mention of marginalized groups, which overstates the original content. Additionally, the summary omits specific feedback details that the original text provides, such as requests for reminders, more masks, and comments about long queues. This results in a summary that is not faithful to the original text.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context and there are no contradictions, indicating no hallucination."
19,10,1,0,50,2700,0.2608695652173913,"The score is 0.26 because the summary introduces substantial extra information not present in the original text, such as specific impacts on certain groups, references to feedback forms, and detailed attributions of challenges, while omitting some answerable details from the original. This reduces the summary's fidelity and accuracy.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the context, indicating no hallucinations."
20,11,0,0,50,4062,0.8,"The score is 0.80 because while the summary is mostly accurate, it introduces extra details such as feedback form IDs and specific snippets that are not present in the original text, and it omits the answer to whether feedback indicates that more masks would help families follow prevention measures.",0.0,"The score is 0.00 because all factual alignments show the actual output consistently matches the context, with no contradictions or unsupported claims, indicating no hallucination."
21,11,1,0,50,2832,0.6,"The score is 0.60 because the summary presents perceptions from the original text as established facts, which misrepresents the source material. Additionally, it introduces extra details such as the number of feedback forms (44) that are not mentioned in the original text. The summary also omits some feedback-related details that the original text provides, such as suggestions for reminders and using multiple channels for announcements.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinations."
22,12,0,0,50,2922,0.6,"The score is 0.60 because the summary introduces extra information and implications not present in the original text, such as the specific disadvantages for families farther from main roads and direct links between distribution issues and health risks. Additionally, the summary omits some feedback details that the original text provides, such as requests for reminders and more masks. However, there are no outright contradictions, so the summary retains some accuracy.",0.1,"The score is 0.10 because the actual output aligns with the context on most key points, with only a few minor omissions (such as not mentioning hygiene supplies, mask distribution, poster visibility, and access issues for vaccines and testing), resulting in a low but nonzero hallucination score."
23,12,1,0,50,2837,0.6153846153846154,"The score is 0.62 because the summary introduces several pieces of extra information not present in the original text, such as specific barriers for remote residents, the number of feedback forms, and details about feedback form IDs. Additionally, the summary omits some answerable details from the original text, such as feedback about masks. However, there are no direct contradictions, which helps maintain some accuracy.",0.14,"The score is 0.14 because the actual output aligns with the vast majority of factual details in the context, with only a few omissions (such as not mentioning hygiene supplies, mask needs, specific eligibility criteria, and visibility of posters), and no evidence of fabricated or contradicted information."
24,13,0,0,50,2899,0.4,"The score is 0.40 because the summary introduces several generalizations and interpretations not directly supported by the original text, such as specifying which groups are most affected and the extent of favoritism, and omits specific feedback details present in the original, like requests for reminders, masks, and comments on long queues. This reduces the summary's accuracy and completeness.",0.1,"The score is 0.10 because the actual output is highly aligned with the context, with many factual alignments and only a few minor omissions (e.g., not mentioning hygiene supplies, testing locations, or vaccination schedules), indicating very low hallucination."
25,13,1,0,50,2762,0.7,"The score is 0.70 because the summary reverses the direction of a key perception about proximity to the main road, introducing a contradiction, and adds extra details such as the number of feedback forms and specific IDs that are not present in the original text. These issues reduce the summary's accuracy and faithfulness.",0.0,"The score is 0.00 because all statements in the actual output are factually aligned with the context and there are no contradictions, indicating no hallucination."
26,14,0,0,50,2686,0.6,"The score is 0.60 because the summary introduces extra details not present in the original text, such as specific groups expressing confusion and the inclusion of feedback form IDs, and omits some feedback details like requests for more masks and comments about long queues. While the summary captures some main points, these omissions and additions reduce its accuracy.",0.2,"The score is 0.20 because the actual output aligns with most factual details from the context, but it omits several specific concerns (e.g., visibility of posters, handwashing station issues, eligibility based on connections, and vaccination schedule information), leading to minor but notable gaps rather than outright hallucinations."
27,14,1,0,50,3144,0.5,"The score is 0.50 because the summary reverses key details about who is more likely to receive support, introduces several claims not present in the original text (such as specific impacts on those with limited mobility or new to the area), and omits answerable points like feedback about mask distribution. These issues significantly reduce the summary's accuracy and completeness.",0.0,"The score is 0.00 because there are numerous factual alignments and no contradictions between the actual output and the context, indicating that the output is fully grounded in the provided information with no hallucinations."
28,15,0,0,50,3586,0.5294117647058824,"The score is 0.53 because the summary introduces several pieces of extra information and specific claims not present in the original text, such as detailed assertions about which groups are affected and the nature of their challenges. Additionally, the summary omits at least one point that the original text can answer, such as feedback about mask distribution. However, there are no direct contradictions, so the summary is partially accurate but lacks completeness and introduces unsupported details.",0.14,"The score is 0.14 because the actual output aligns with nearly all factual contexts, addressing most concerns and recommendations, but omits a few key details such as hygiene improvements, mask provision, maintenance of handwashing stations, documentation requirements, and testing availability, resulting in minor factual gaps."
29,15,1,0,50,2510,0.7,"The score is 0.70 because the summary introduces extra details not present in the original text, such as specifying the number of feedback forms and attributing particular difficulties to certain groups, which were not mentioned. However, there are no direct contradictions, and the summary still captures much of the original content.",0.0,"The score is 0.00 because all statements in the actual output align with the context and there are no contradictions, indicating no hallucinated information."
30,16,0,0,50,3012,0.4,"The score is 0.40 because the summary introduces several pieces of extra information not present in the original text, such as specific details about which households are affected and the basis for recommendations. Additionally, the summary omits answers to some questions that the original text addresses, such as feedback about reminders, masks, and registration information. However, there are no direct contradictions, which prevents the score from being lower.",0.0,"The score is 0.00 because all factual alignments show the actual output is fully consistent with the context, with no contradictions or unsupported details present."
